#ind,TIC,period_2g,period_2g_sigma_low,period_2g_sigma_high,chi2_2g,period_pf,period_pf_sigma_low,period_pf_sigma_high,chi2_pf,period_combined,period_combined_sigma_low,period_combined_sigma_high
3954,289597948,5.51292057,0.00004092,0.00003943,129928.92729426,5.51277008,0.00002022,0.00002067,61688.03878922,5.51278352,0.00002774,0.00013675
3955,289670788,1.95570040,0.00002843,0.00002770,55296.11422773,1.95575029,0.00003626,0.00003620,33781.52886416,1.95572888,0.00004011,0.00004631
3956,289716926,0.59085374,0.00000239,0.00000207,81121.03437781,0.59086254,0.00000147,0.00000176,59525.97469699,0.59086089,0.00000789,0.00000272
3957,289722957,2.21830331,0.00000013,0.00000015,735248.54044719,2.21830293,0.00000023,0.00000024,2029411.78342945,2.21830326,0.00000028,0.00000017
3958,289801742,NaN,0.00000518,0.00000526,NaN,1.38965373,0.00000173,0.00000192,1350964.29257787,1.38965373,0.00000173,0.00000192
3959,289969374,0.25589057,0.00000007,0.00000007,747550.19775745,0.25589074,0.00000010,0.00000011,318641.12962423,0.25589069,0.00000013,0.00000013
3960,290476605,5.74462568,0.00002323,0.00002557,501565.48049382,5.74490948,0.00047511,0.00009051,455381.12722982,5.74464115,0.00005402,0.00031860
3961,291320884,0.37175254,0.00000099,0.00000093,28867.00170413,0.37175072,0.00000169,0.00000182,43668.87386026,0.37175208,0.00000188,0.00000123
3962,292013448,4.32819636,0.00000148,0.00000154,12191504.80668210,4.32606727,0.00000000,0.00000000,413658165.98469263,4.32819638,0.00000151,0.00000153
3963,292115251,3.49239042,0.00010731,0.00008827,31532.17509366,3.49273934,0.00015848,0.00022252,51565.61807420,3.49246218,0.00014134,0.00032491
3964,292607284,4.13808924,0.00016920,0.00018766,15885.98066309,4.13857677,0.00065905,0.00039487,33795.62392142,4.13814152,0.00022058,0.00044260
3965,293151358,2.31297679,0.00000038,0.00000039,47999556.02993532,2.31253067,0.00000020,0.00000012,36562096.94653997,2.31253083,0.00000032,0.00044609
3966,293480903,7.56939927,0.00000592,0.00000621,116769.43937390,7.56939214,0.00000756,0.00000733,131363.14129509,7.56939640,0.00000804,0.00000715
3967,293605127,0.12078536,0.00000134,0.00000137,8500.80161232,0.12078606,0.00000111,0.00000100,10256.00481224,0.12078571,0.00000135,0.00000121
3968,293954660,2.81365306,0.00000518,0.00000541,129551.03575505,2.81363377,0.00002512,0.00001874,4794647.32381904,2.81365296,0.00000548,0.00000536
3969,294059372,0.66674320,0.00000040,0.00000038,471494.43112410,0.66673929,0.00000014,0.00000063,364879.35422404,0.66674002,0.00000081,0.00000331
3970,294191640,1.59389863,0.00002272,0.00002355,25388.56614250,1.59391805,0.00000981,0.00001473,25406.22012908,1.59391216,0.00002522,0.00001717
3971,294197236,NaN,0.00000531,0.00000586,NaN,1.93454292,0.00000856,0.00001541,803575.58449926,1.93454292,0.00000856,0.00001541
3972,294206429,1.05509187,0.00000018,0.00000019,16886291.41999709,1.05506450,0.00000032,0.00000992,15568704.58125305,1.05508259,0.00001826,0.00000936
3973,294273900,0.47228109,0.00000000,0.00000000,154222846.95571181,NaN,NaN,NaN,2305422620.26580429,NaN,NaN,NaN
3974,294601335,12.46707888,0.00054727,0.00050177,176769.16156239,12.47283798,0.00099069,0.00093471,140938.47603655,12.47154192,0.00469031,0.00185350
3975,294784522,0.49561807,0.00000002,0.00000002,7446607.90327048,0.49561802,0.00000000,0.00000000,11258688.87652241,0.49561807,0.00000002,0.00000002
3976,295111026,4.26331968,0.00003232,0.00002922,629455.91415610,4.26336244,0.00001797,0.00001875,600025.50415192,4.26334685,0.00004178,0.00002640
